rbi,hr,obp,avg,age,obp pred,"obp	real",error
12,3,0.294,0.217,1990,0.294461667,0.221,-0.073461667
108,36,0.358,0.303,1984,0.375612914,0.337,-0.038612914
80,27,0.297,0.268,1990,0.352106705,0.274,-0.078106705
39,7,0.29,0.225,1989,0.316612122,0.232,-0.084612122
97,27,0.342,0.295,1990,0.363925656,0.357,-0.006925656
67,30,0.307,0.233,1990,0.344573893,0.337,-0.007573893
78,22,0.357,0.261,1982,0.353705431,0.377,0.023294569
63,16,0.338,0.3,1990,0.337835262,0.329,-0.008835262
31,7,0.333,0.275,1988,0.312175553,0.327,0.014824447
39,9,0.342,0.235,1991,0.3176687,0.331,0.0133313
3,2,0.161,0.13,1988,0.284943954,0.163,-0.121943954
78,30,0.351,0.239,1989,0.353331613,0.309,-0.044331613
0,0,0.107,0.091,1986,0.2815547,0.217,-0.0645547
22,5,0.389,0.288,1989,0.305564991,0.34,0.034435009
57,16,0.293,0.244,1989,0.332967374,0.25,-0.082967374
1,0,0.282,0.187,1991,0.284218823,0.332,0.047781177
101,31,0.349,0.273,1990,0.367706012,0.345,-0.022706012
45,11,0.338,0.284,1993,0.321834066,0.344,0.022165934
44,7,0.347,0.27,1991,0.320776958,0.328,0.007223042
49,12,0.378,0.281,1986,0.329164216,0.341,0.011835784
47,10,0.324,0.255,1978,0.329248729,0.297,-0.032248729
74,30,0.328,0.243,1990,0.349772807,0.318,-0.031772807
21,5,0.319,0.271,1992,0.301721374,0.298,-0.003721374
52,18,0.307,0.271,1991,0.329554162,0.319,-0.010554162
62,10,0.343,0.273,1992,0.334294029,0.36,0.025705971
82,18,0.312,0.273,1982,0.354007537,0.314,-0.040007537
56,14,0.309,0.232,1987,0.332795955,0.313,-0.019795955
64,18,0.314,0.255,1987,0.33992141,0.277,-0.06292141
74,28,0.346,0.263,1990,0.349532911,0.327,-0.022532911
58,22,0.308,0.247,1988,0.336531103,0.349,0.012468897
59,12,0.319,0.267,1992,0.332302497,0.306,-0.026302497
63,24,0.385,0.297,1985,0.343741438,0.296,-0.047741438
4,0,0.246,0.21,1983,0.28940599,0.269,-0.02040599
