0.372,0.343,0.291,0.280430427,0.315,0.034569573
0.325,0.314,0.317,0.278218815,0.326,0.047781185
0.281,0.368,0.349,0.279630515,0.341,0.061369485
0.312,0.314,0.36,0.279343651,0.353,0.073656349
0.297,0.306,0.341,0.277592605,0.346,0.068407395
0.214,0.267,0.277,0.269524634,0.272,0.002475366
0.5,0.164,0.094,0.271126405,0.1,-0.171126405
0.284,0.31,0.269,0.274247543,0.273,-0.001247543
0.35,0,0.331,0.267034934,0.352,0.084965066
0.195,0.552,0.289,0.280557552,0.247,-0.033557552
0.5,0.281,0.287,0.283515556,0.268,-0.015515556
0.346,0.352,0.331,0.281196599,0.321,0.039803401
0.338,0.363,0.384,0.283329827,0.351,0.067670173
0.378,0.315,0.347,0.281810026,0.307,0.025189974
0.301,0.2,0.333,0.273172371,0.312,0.038827629
0.459,0.434,0.454,0.293600618,0.417,0.123399382
0.091,0.5,0.326,0.275291054,0.312,0.036708946
0.108,0.185,0.203,0.257659812,0.119,-0.138659812
0.293,0.328,0.326,0.277683213,0.315,0.037316787
0.417,0.332,0.313,0.282850416,0.345,0.062149584
0.324,0.333,0.245,0.276039105,0.354,0.077960895
0.347,0.353,0.354,0.28217798,0.325,0.04282202
0.353,0.396,0.41,0.286214743,0.386,0.099785257
0.347,0.306,0.288,0.277738701,0.31,0.032261299
0.279,0.319,0.248,0.273523741,0.246,-0.027523741
0.25,0.352,0.297,0.275509759,0.326,0.050490241
0.247,0.175,0.347,0.270171186,0.3,0.029828814
0.291,0.363,0.374,0.280867653,0.387,0.106132347
0.327,0.311,0.339,0.279066725,0.293,0.013933275
0.3,0.314,0.255,0.274578636,0.255,-0.019578636
0.13,0.312,0.286,0.267771251,0.184,-0.083771251
0.289,0.301,0.296,0.275212525,0.375,0.099787475
0.13,0.22,0.167,0.258730384,0.19,-0.068730384
0.299,0.314,0.355,0.278559143,0.35,0.071440857
0.37,0.339,0.415,0.285005524,0.406,0.120994476
0.255,0.184,0.313,0.269509492,0.21,-0.059509492
0.358,0.37,0.332,0.282456215,0.265,-0.017456215
0.362,0.327,0.308,0.280033121,0.331,0.050966879
0,0.354,0.299,0.263799944,0.281,0.017200056
0.351,0.287,0.345,0.279440627,0.332,0.052559373
0.298,0.331,0.338,0.27850717,0.282,0.00349283
0.314,0.303,0.3,0.276600695,0.282,0.005399305
0.28,0.298,0.364,0.27742312,0.315,0.03757688
0.323,0.307,0.336,0.278609725,0.326,0.047390275
0.308,0.348,0.333,0.27942622,0.283,0.00357378
0.321,0.327,0.376,0.28088507,0.332,0.05111493
0.369,0.385,0.409,0.286452298,0.374,0.087547702
0.296,0.301,0.351,0.277749108,0.332,0.054250892
0.355,0.2,0.315,0.274944161,0.356,0.081055839
0.328,0.359,0.323,0.280354015,0.273,-0.007354015
0.267,0.26,0.316,0.273344782,0.303,0.029655218
0.302,0.319,0.353,0.278811982,0.276,-0.002811982
0.294,0.328,0.36,0.279083677,0.394,0.114916323
0.361,0.339,0.363,0.282607182,0.395,0.112392818
0.31,0.357,0.294,0.278320287,0.253,-0.025320287
0.171,0.252,0.176,0.262536865,0.333,0.070463135
0.235,0.315,0.288,0.272950594,0.295,0.022049406
0.343,0.306,0.281,0.277276871,0.314,0.036723129
0.308,0.321,0.376,0.280071495,0.325,0.044928505
0.31,0.3,0.325,0.277303733,0.318,0.040696267
0.315,0.14,0.262,0.268386756,0.328,0.059613244
0.315,0.356,0.352,0.280799759,0.328,0.047200241
0.338,0.359,0.279,0.279061947,0.287,0.007938053
0.317,0.293,0.377,0.279418246,0.324,0.044581754
0.365,0.38,0.384,0.285143279,0.374,0.088856721
0.394,0.322,0.316,0.28157362,0.415,0.13342638
0.272,0.403,0.335,0.280038451,0.322,0.041961549
0.319,0.302,0.288,0.276305529,0.33,0.053694471
0.143,0.309,0.312,0.269355563,0.319,0.049644437
