rbi,hr,obp,avg,age,avg pred,avg real,error,avg avg,abs error,
100,36,0.454,0.32,1983,0.283107211,0.284,-0.000892789,,0.000892789,
22,6,0.326,0.266,1989,0.235142217,0.26,-0.024857783,,0.024857783,
6,1,0.203,0.148,1984,0.226886305,0.119,0.107886305,,0.107886305,
58,14,0.326,0.255,1986,0.253847073,0.251,0.002847073,,0.002847073,
74,13,0.313,0.256,1993,0.255438843,0.288,-0.032561157,,0.032561157,
6,2,0.245,0.144,1992,0.223756642,0.265,-0.041243358,,0.041243358,
102,33,0.354,0.304,1987,0.278060929,0.265,0.013060929,,0.013060929,
81,24,0.41,0.346,1990,0.266387846,0.316,-0.049612154,,0.049612154,
54,6,0.288,0.255,1990,0.246159914,0.269,-0.022840086,,0.022840086,
11,4,0.248,0.17,1984,0.230988676,0.143,0.087988676,,0.087988676,
37,5,0.297,0.259,1994,0.237065669,0.288,-0.050934331,,0.050934331,
40,10,0.347,0.288,1989,0.244155925,0.249,-0.004844075,,0.004844075,
83,29,0.374,0.318,1992,0.26686146,0.27,-0.00313854,,0.00313854,
47,16,0.339,0.272,1987,0.249980941,0.25,-1.90591E-05,,1.90591E-05,
10,3,0.255,0.201,1988,0.228192622,0.204,0.024192622,,0.024192622,
4,2,0.286,0.231,1989,0.225753597,0.162,0.063753597,,0.063753597,
15,3,0.296,0.25,1989,0.230611495,0.339,-0.108388505,,0.108388505,
6,0,0.167,0.14,1991,0.221723648,0.175,0.046723648,,0.046723648,
90,38,0.355,0.27,1986,0.275679993,0.242,0.033679993,,0.033679993,
71,21,0.415,0.322,1984,0.264920506,0.312,-0.047079494,,0.047079494,
11,3,0.313,0.225,1992,0.227761048,0.134,0.093761048,,0.093761048,
11,1,0.332,0.258,1990,0.228684976,0.207,0.021684976,,0.021684976,
85,28,0.308,0.25,1983,0.270722482,0.249,0.021722482,,0.021722482,
49,20,0.299,0.22,1990,0.249414839,0.179,0.070414839,,0.070414839,
18,5,0.345,0.26,1993,0.231422587,0.26,-0.028577413,,0.028577413,
39,15,0.338,0.276,1990,0.244728891,0.217,0.027728891,,0.027728891,
42,16,0.3,0.256,1989,0.245870489,0.252,-0.006129511,,0.006129511,
13,3,0.364,0.26,1991,0.230379054,0.21,0.020379054,,0.020379054,
110,43,0.336,0.247,1987,0.284129196,0.247,0.037129196,,0.037129196,
71,19,0.333,0.244,1987,0.260351474,0.208,0.052351474,,0.052351474,
42,4,0.376,0.285,1990,0.242954701,0.249,-0.006045299,,0.006045299,
73,29,0.409,0.295,1992,0.263778585,0.272,-0.008221415,,0.008221415,
50,19,0.351,0.283,1983,0.254837348,0.271,-0.016162652,,0.016162652,
59,30,0.315,0.211,1993,0.255579457,0.238,0.017579457,,0.017579457,
88,27,0.323,0.249,1987,0.269636562,0.221,0.048636562,,0.048636562,
33,9,0.316,0.27,1991,0.239118139,0.271,-0.031881861,,0.031881861,
85,38,0.353,0.246,1987,0.273078474,0.186,0.087078474,,0.087078474,
53,12,0.36,0.288,1988,0.250893586,0.321,-0.070106414,,0.070106414,
49,15,0.363,0.3,1986,0.25161696,0.308,-0.05638304,,0.05638304,
65,22,0.294,0.199,1985,0.259170449,0.199,0.060170449,,0.060170449,
7,2,0.176,0.146,1991,0.223023865,0.248,-0.024976135,,0.024976135,
6,3,0.288,0.235,1990,0.226361558,0.213,0.013361558,,0.013361558,
76,24,0.281,0.23,1992,0.25988827,0.27,-0.01011173,,0.01011173,
124,37,0.376,0.312,1990,0.286831167,0.28,0.006831167,,0.006831167,
40,10,0.325,0.249,1990,0.242996229,0.255,-0.012003771,,0.012003771,
14,5,0.262,0.208,1989,0.23005218,0.249,-0.01894782,,0.01894782,
97,30,0.352,0.267,1983,0.277250559,0.248,0.029250559,,0.029250559,
12,2,0.279,0.25,1983,0.23207655,0.244,-0.01192345,,0.01192345,
90,23,0.377,0.303,1989,0.269278929,0.247,0.022278929,,0.022278929,
69,23,0.384,0.241,1985,0.263409255,0.257,0.006409255,,0.006409255,
64,19,0.316,0.231,1980,0.261166064,0.283,-0.021833936,,0.021833936,
68,25,0.335,0.243,1984,0.263066596,0.208,0.055066596,,0.055066596,
52,10,0.288,0.225,1986,0.249071529,0.238,0.011071529,,0.011071529,
69,19,0.312,0.243,1993,0.255568952,0.224,0.031568952,,0.031568952,
5,1,0.212,0.161,1984,0.226733238,0.243,-0.016266762,,0.016266762,
53,19,0.32,0.271,1991,0.250638563,0.227,0.023638563,,0.023638563,
52,9,0.357,0.299,1987,0.249940963,0.309,-0.059059037,,0.059059037,
68,27,0.384,0.279,1993,0.259873758,0.243,0.016873758,,0.016873758,
60,16,0.329,0.249,1983,0.257143205,0.299,-0.041856795,,0.041856795,
26,1,0.361,0.29,1989,0.235823128,0.252,-0.016176872,,0.016176872,
77,28,0.352,0.264,1993,0.262958177,0.199,0.063958177,,0.063958177,
72,33,0.442,0.306,1991,0.266212545,0.312,-0.045787455,,0.045787455,
64,25,0.331,0.251,1991,0.257371861,0.201,0.056371861,,0.056371861,
38,12,0.33,0.276,1989,0.2436443,0.202,0.0416443,,0.0416443,
79,22,0.326,0.246,1985,0.265548106,0.245,0.020548106,,0.020548106,
102,24,0.344,0.264,1992,0.271742147,0.346,-0.074257853,,0.074257853,
119,39,0.375,0.288,1980,0.291158355,0.256,0.035158355,,0.035158355,
101,26,0.32,0.272,1992,0.271454927,0.298,-0.026545073,,0.026545073,
21,6,0.298,0.251,1990,0.23347944,0.234,-0.00052056,,0.00052056,
35,9,0.272,0.244,1983,0.243361622,0.241,0.002361622,,0.002361622,
76,8,0.354,0.275,1983,0.261277257,0.297,-0.035722743,,0.035722743,
130,37,0.373,0.309,1991,0.28848996,0.297,-0.00851004,,0.00851004,
56,14,0.325,0.281,1991,0.250177458,0.255,-0.004822542,,0.004822542,
0,0,0.21,0.125,1989,0.221583714,0.197,0.024583714,,0.024583714,
120,36,0.404,0.297,1987,0.287328706,0.29,-0.002671294,,0.002671294,
6,2,0.225,0.198,1985,0.227256495,0.167,0.060256495,,0.060256495,
15,5,0.272,0.223,1987,0.23183221,0.205,0.02683221,,0.02683221,
59,22,0.285,0.238,1991,0.253159357,0.245,0.008159357,,0.008159357,
45,9,0.361,0.246,1989,0.246077831,0.273,-0.026922169,,0.026922169,
2,0,0.286,0.245,1991,0.223181627,0.077,0.146181627,,0.146181627,
38,8,0.291,0.207,1988,0.241759307,0.168,0.073759307,,0.073759307,
97,23,0.338,0.28,1982,0.275029493,0.303,-0.027970507,,0.027970507,
38,17,0.36,0.255,1984,0.249009238,0.222,0.027009238,,0.027009238,
36,3,0.314,0.292,1992,0.237565025,0.28,-0.042434975,,0.042434975,
75,30,0.252,0.204,1994,0.259708306,0.253,0.006708306,,0.006708306,
35,13,0.343,0.221,1983,0.246523299,0.194,0.052523299,,0.052523299,
52,17,0.336,0.268,1983,0.254528847,0.254,0.000528847,,0.000528847,
62,9,0.286,0.237,1988,0.251468238,0.226,0.025468238,,0.025468238,
12,3,0.294,0.217,1990,0.228804538,0.194,0.034804538,,0.034804538,
108,36,0.358,0.303,1984,0.283236989,0.264,0.019236989,,0.019236989,
80,27,0.297,0.268,1990,0.264125125,0.235,0.029125125,,0.029125125,
39,7,0.29,0.225,1989,0.241216129,0.177,0.064216129,,0.064216129,
97,27,0.342,0.295,1990,0.271972349,0.31,-0.038027651,,0.038027651,
67,30,0.307,0.233,1990,0.260282177,0.255,0.005282177,,0.005282177,
78,22,0.357,0.261,1982,0.267668715,0.264,0.003668715,,0.003668715,
63,16,0.338,0.3,1990,0.254575593,0.278,-0.023424407,,0.023424407,
31,7,0.333,0.275,1988,0.239767739,0.277,-0.037232261,,0.037232261,
39,9,0.342,0.235,1991,0.242084496,0.267,-0.024915504,,0.024915504,
3,2,0.161,0.13,1988,0.222797576,0.122,0.100797576,,0.100797576,
78,30,0.351,0.239,1989,0.266310893,0.22,0.046310893,,0.046310893,
0,0,0.107,0.091,1986,0.220733234,0.19,0.030733234,,0.030733234,
22,5,0.389,0.288,1989,0.236362025,0.266,-0.029637975,,0.029637975,
57,16,0.293,0.244,1989,0.251595939,0.2,0.051595939,,0.051595939,
1,0,0.282,0.187,1991,0.222647876,0.259,-0.036352124,,0.036352124,
101,31,0.349,0.273,1990,0.275101271,0.241,0.034101271,,0.034101271,
45,11,0.338,0.284,1993,0.243953099,0.271,-0.027046901,,0.027046901,
44,7,0.347,0.27,1991,0.243497325,0.248,-0.004502675,,0.004502675,
49,12,0.378,0.281,1986,0.250906152,0.227,0.023906152,,0.023906152,
47,10,0.324,0.255,1978,0.252619897,0.251,0.001619897,,0.001619897,
74,30,0.328,0.243,1990,0.263583275,0.253,0.010583275,,0.010583275,
21,5,0.319,0.271,1992,0.23252684,0.23,0.00252684,,0.00252684,
52,18,0.307,0.271,1991,0.249561847,0.267,-0.017438153,,0.017438153,
62,10,0.343,0.273,1992,0.250986001,0.288,-0.037013999,,0.037013999,
82,18,0.312,0.273,1982,0.266710545,0.261,0.005710545,,0.005710545,
56,14,0.309,0.232,1987,0.252032042,0.266,-0.013967958,,0.013967958,
64,18,0.314,0.255,1987,0.256762941,0.226,0.030762941,,0.030762941,
74,28,0.346,0.263,1990,0.263349171,0.267,-0.003650829,,0.003650829,
58,22,0.308,0.247,1988,0.255080224,0.241,0.014080224,,0.014080224,
59,12,0.319,0.267,1992,0.249906319,0.242,0.007906319,,0.007906319,
63,24,0.385,0.297,1985,0.261470973,0.219,0.042470973,,0.042470973,
4,0,0.246,0.21,1983,0.227436805,0.234,-0.006563195,,0.006563195,
