rbi,hr,obp,avg,age,avg pred,avg real,error,avg avg,abs error,
0,0,0,0,1987,0.217502064,0.259,-0.041497936,,0.041497936,
4,2,0.337,0.24,1989,0.227002042,0.276,-0.048997958,,0.048997958,
26,5,0.368,0.291,1983,0.240832673,0.224,0.016832673,,0.016832673,
52,9,0.32,0.256,1991,0.246669241,0.258,-0.011330759,,0.011330759,
53,19,0.291,0.249,1983,0.254487911,0.286,-0.031512089,,0.031512089,
40,9,0.327,0.275,1983,0.246729684,0.289,-0.042270316,,0.042270316,
62,19,0.29,0.233,1985,0.256853428,0.285,-0.028146572,,0.028146572,
21,1,0.282,0.229,1973,0.240967558,0.291,-0.050032442,,0.050032442,
47,10,0.29,0.259,1991,0.244308755,0.303,-0.058691245,,0.058691245,
43,10,0.335,0.249,1990,0.244425545,0.267,-0.022574455,,0.022574455,
4,0,0.226,0.186,1988,0.224117737,0.143,0.081117737,,0.081117737,
2,2,0.163,0.152,1986,0.223605442,0.262,-0.038394558,,0.038394558,
34,6,0.331,0.263,1990,0.239384374,0.249,-0.009615626,,0.009615626,
36,9,0.281,0.236,1991,0.239389958,0.209,0.030389958,,0.030389958,
41,7,0.297,0.264,1990,0.241639657,0.221,0.020639657,,0.020639657,
18,2,0.311,0.25,1984,0.234629428,0.278,-0.043370572,,0.043370572,
31,11,0.283,0.211,1987,0.240453435,0.21,0.030453435,,0.030453435,
60,13,0.359,0.293,1989,0.253419371,0.23,0.023419371,,0.023419371,
52,9,0.372,0.303,1987,0.25032011,0.275,-0.02467989,,0.02467989,
4,1,0.325,0.289,1992,0.224722055,0.273,-0.048277945,,0.048277945,
50,6,0.281,0.257,1990,0.244412763,0.319,-0.074587237,,0.074587237,
30,9,0.312,0.222,1984,0.241797518,0.263,-0.021202482,,0.021202482,
57,16,0.297,0.247,1988,0.2522756,0.243,0.0092756,,0.0092756,
12,2,0.214,0.161,1983,0.230398153,0.238,-0.007601847,,0.007601847,
0,0,0.5,0.5,1985,0.231206468,0.156,0.075206468,,0.075206468,
11,4,0.284,0.213,1991,0.227955482,0.252,-0.024044518,,0.024044518,
2,0,0.35,0.316,1990,0.225360355,0,0.225360355,,0.225360355,
7,1,0.195,0.157,1988,0.224833952,0.48,-0.255166048,,0.255166048,
1,1,0.5,0.5,1990,0.22913123,0.234,-0.00486877,,0.00486877,
54,26,0.346,0.21,1992,0.253539947,0.246,0.007539947,,0.007539947,
66,10,0.338,0.265,1983,0.257623698,0.261,-0.003376302,,0.003376302,
