id,rbi,hr,obp,avg,hits,age
572041,4,2,.326,.244,10,1987
571437,22,4,.300,.197,39,1991
543305,31,8,.281,.217,71,1989
594809,59,14,.362,.284,176,1988
430945,83,29,.310,.265,164,1985
608365,95,21,.321,.238,125,1994
134181,104,32,.358,.300,175,1979
408236,90,18,.349,.285,162,1982
405395,119,31,.323,.268,159,1980
444876,55,7,.292,.261,166,1986
460086,40,17,.312,.220,98,1984
592743,44,4,.324,.281,126,1989
461865,16,2,.304,.236,41,1985
543685,85,20,.348,.270,153,1990
519203,109,32,.385,.292,170,1989
605131,2,0,.270,.156,5,1989
595978,1,0,.154,.125,3,1992
519222,26,4,.269,.242,40,1988
541645,51,12,.307,.245,101,1991
571740,17,3,.321,.260,107,1990
474832,82,17,.394,.275,149,1988
543063,84,12,.342,.275,152,1987
458731,41,7,.351,.261,143,1983
435263,58,20,.335,.242,104,1984
571788,34,7,.322,.255,74,1988
547180,86,24,.373,.243,123,1992
457763,80,14,.362,.288,155,1987
621439,38,10,.284,.225,67,1993
543068,69,16,.325,.278,113,1990
543376,0,0,.216,.174,23,1986
621043,96,20,.361,.274,158,1994
471865,100,25,.350,.298,174,1985
593372,6,0,.246,.237,14,1991
467793,87,34,.366,.259,151,1986
514917,39,6,.371,.294,161,1990
453568,82,29,.381,.324,187,1986
502624,1,0,.128,.089,4,1987
452104,51,14,.331,.253,118,1984
596144,46,12,.318,.274,130,1992
448801,84,38,.332,.221,125,1986
543302,28,6,.352,.284,42,1987
455104,24,7,.303,.210,62,1983
572008,49,5,.315,.277,121,1991
455759,24,9,.352,.276,56,1983
592885,98,21,.376,.298,172,1991
458675,54,15,.286,.206,76,1986
572816,70,24,.293,.245,125,1989
608369,72,26,.365,.308,193,1994
605486,8,1,.302,.229,11,1991
502226,2,0,.237,.147,5,1983
518614,38,8,.349,.264,66,1986
444482,15,4,.295,.251,43,1987
543829,14,1,.305,.268,87,1988
592261,13,4,.275,.209,38,1992
518618,42,7,.374,.279,98,1989
571918,0,0,.214,.083,1,1990
581527,50,11,.332,.300,123,1991
451594,48,13,.393,.276,126,1986
544369,70,20,.304,.276,155,1990
553988,0,0,.308,.100,1,1992
518934,66,11,.416,.348,192,1988
456030,74,15,.376,.318,201,1983
592696,32,10,.295,.269,90,1991
429665,127,42,.357,.263,158,1983
501303,7,2,.299,.254,16,1989
553869,1,0,.000,.000,0,1990
462101,69,8,.362,.302,153,1988
542255,29,3,.351,.291,152,1990
571771,18,7,.283,.190,41,1991
543333,104,25,.328,.266,161,1989
553993,70,21,.317,.248,140,1991
594828,72,32,.319,.251,112,1986
446334,98,36,.318,.273,173,1985
465041,33,1,.377,.264,86,1986
596019,78,15,.358,.301,182,1993
518692,91,34,.400,.302,178,1989
520471,67,20,.274,.241,141,1989
596142,42,20,.376,.299,60,1992
543807,82,29,.359,.261,168,1989
543037,3,1,.220,.200,8,1990
519317,74,27,.326,.240,99,1989
491676,4,2,.298,.259,14,1987
594824,17,3,.393,.276,59,1989
453923,18,1,.309,.224,54,1983
570256,86,22,.323,.258,136,1991
434670,111,30,.361,.286,157,1983
452254,57,13,.357,.289,114,1983
435622,86,22,.335,.285,178,1985
400085,22,1,.354,.291,95,1973
592663,48,11,.343,.303,154,1991
598265,87,26,.349,.267,149,1990
594798,2,0,.200,.143,6,1988
453562,7,2,.304,.262,17,1986
571875,91,29,.332,.249,130,1990
545350,21,5,.257,.209,60,1991
543510,48,12,.272,.221,76,1990
502481,25,1,.340,.278,83,1984
488771,32,11,.307,.210,69,1987
518792,49,7,.306,.230,122,1989
543401,82,23,.343,.275,168,1987
595879,59,14,.314,.273,115,1992
516416,64,20,.368,.319,203,1990
476704,27,2,.314,.263,89,1984
576397,59,30,.306,.243,97,1988
425772,15,2,.267,.238,30,1983
502188,9,0,.164,.156,10,1985
527043,44,15,.310,.252,65,1991
542583,0,0,.000,.000,0,1990
491696,5,1,.552,.480,12,1988
542908,25,8,.281,.234,49,1990
592626,68,25,.352,.246,100,1992
408045,49,11,.363,.261,129,1983
605412,62,10,.315,.239,111,1990
608336,1,1,.200,.040,1,1993
458015,97,29,.434,.326,181,1983
543308,0,0,.500,.500,1,1989
452657,6,0,.185,.102,6,1984
474568,59,11,.328,.256,133,1986
593871,27,4,.332,.282,69,1993
624585,31,12,.333,.238,54,1992
547989,100,25,.353,.293,183,1987
514888,96,24,.396,.338,216,1990
578428,32,4,.306,.255,119,1990
446653,8,3,.319,.232,23,1984
606299,25,3,.352,.324,78,1994
517369,0,0,.175,.154,6,1989
608070,76,11,.363,.312,176,1992
543281,59,4,.311,.283,138,1987
572033,10,1,.314,.256,20,1988
518542,25,3,.312,.261,46,1989
501571,9,3,.301,.239,34,1989
