id,rbi,hr,obp,avg,hits,age
527054,2,0,.220,.204,10,1991
475253,34,14,.314,.217,65,1986
457759,90,27,.339,.275,153,1984
592230,8,1,.184,.176,15,1992
605509,6,0,.370,.292,31,1990
434778,93,30,.327,.263,147,1983
542979,19,9,.354,.242,50,1990
606466,33,1,.287,.259,113,1993
595281,37,12,.331,.246,90,1990
607680,53,7,.303,.266,146,1989
608700,11,1,.298,.197,26,1991
501981,102,42,.307,.247,137,1987
594777,75,18,.348,.271,161,1987
543939,23,5,.327,.240,75,1990
592178,102,39,.385,.292,176,1992
435559,49,8,.301,.258,89,1983
656941,0,0,.200,.000,0,1993
572122,99,30,.359,.278,166,1987
544725,5,1,.260,.229,11,1991
489149,43,14,.319,.238,84,1987
502082,57,8,.328,.286,110,1988
456715,56,9,.339,.287,114,1986
472528,40,13,.357,.260,76,1985
571912,15,3,.252,.227,27,1991
607776,15,6,.315,.223,25,1990
596748,88,25,.306,.255,148,1992
542303,76,23,.321,.266,148,1990
543760,75,27,.300,.238,135,1990
592192,6,3,.140,.122,5,1989
448602,53,14,.356,.282,111,1983
445988,75,8,.359,.305,183,1983
503556,51,13,.293,.254,123,1989
572761,68,21,.380,.271,128,1985
407812,62,20,.322,.246,94,1980
459964,42,13,.403,.242,56,1984
446308,66,17,.302,.243,103,1986
596146,63,17,.309,.235,93,1993
453286,12,0,.208,.186,13,1984
572191,16,7,.278,.231,51,1991
488726,7,0,.279,.231,9,1987
624424,42,12,.310,.220,67,1993
408234,108,38,.393,.316,188,1983
500743,14,1,.288,.247,48,1989
593934,66,25,.319,.236,103,1993
545361,100,29,.441,.315,173,1991
572287,31,12,.318,.207,34,1991
543484,11,3,.231,.195,36,1989
519048,60,22,.298,.233,107,1985
605141,113,31,.363,.318,214,1992
443558,105,43,.360,.287,169,1980
592206,58,18,.331,.285,117,1992
605113,20,4,.265,.218,62,1990
460026,48,10,.320,.260,75,1983
455976,89,13,.346,.269,161,1983
571448,133,41,.362,.294,182,1991
546318,49,15,.361,.286,167,1991
571578,4,0,.320,.306,15,1989
502671,95,24,.411,.297,172,1987
449181,43,5,.329,.302,138,1985
488721,23,5,.292,.251,89,1987
545341,68,24,.289,.240,107,1991
543257,37,11,.386,.280,93,1989
592662,2,1,.204,.189,10,1991
547379,17,3,.285,.183,28,1988
429664,103,39,.350,.298,195,1982
455139,20,9,.314,.224,33,1984
591720,12,1,.305,.258,40,1992
596059,88,33,.296,.271,164,1994
431145,74,20,.335,.231,105,1983
460075,91,30,.365,.305,156,1983
572365,12,3,.228,.186,34,1988
607387,22,8,.331,.258,62,1990
475582,46,15,.272,.218,93,1984
521692,64,22,.288,.247,127,1990
506702,35,7,.369,.310,78,1989
571697,56,14,.317,.263,131,1990
594988,40,9,.330,.265,68,1990
425783,17,7,.357,.242,43,1982
516770,70,21,.300,.270,156,1990
516782,46,9,.362,.311,152,1988
572039,85,22,.343,.273,159,1991
544931,2,0,.240,.208,10,1988
519306,49,17,.303,.247,106,1989
543699,3,0,.188,.125,8,1986
600303,11,2,.357,.270,40,1989
518595,15,4,.307,.247,62,1989
608671,12,2,.332,.245,82,1991
543768,71,16,.306,.242,116,1990
607208,40,13,.370,.342,105,1993
571466,51,7,.323,.257,97,1991
452095,41,8,.357,.270,76,1986
400121,86,27,.351,.289,160,1978
571976,94,28,.336,.259,155,1990
594694,7,1,.364,.276,16,1992
527038,49,16,.319,.267,82,1991
593428,89,21,.356,.294,192,1992
425877,58,8,.360,.307,164,1982
543228,34,9,.201,.167,42,1987
500208,71,15,.341,.286,116,1987
624577,45,11,.323,.263,88,1990
518735,72,27,.339,.228,89,1988
570560,21,4,.236,.208,32,1992
446359,50,16,.308,.252,117,1985
425844,3,0,.246,.212,11,1983
