id,rbi,hr,obp,avg,hits,age
572041,65,21,.316,.257,106,1987
571437,38,8,.295,.181,44,1991
543305,79,27,.366,.248,119,1989
594809,33,5,.394,.301,96,1988
430945,63,15,.313,.281,163,1985
608365,38,5,.317,.250,105,1994
134181,65,15,.328,.273,118,1979
408236,26,6,.299,.237,40,1982
405395,64,19,.289,.245,114,1980
444876,34,4,.279,.231,112,1986
460086,54,13,.324,.245,124,1984
592743,75,11,.337,.292,162,1989
461865,2,0,.260,.210,25,1985
543685,92,24,.374,.308,163,1990
519203,101,25,.376,.283,160,1989
605131,14,4,.329,.205,41,1989
595978,37,14,.282,.231,70,1992
519222,42,10,.295,.244,59,1988
541645,49,19,.281,.236,84,1991
571740,29,4,.299,.236,119,1990
474832,46,14,.342,.253,101,1988
543063,54,14,.325,.254,135,1987
458731,45,12,.322,.236,125,1983
435263,23,7,.301,.212,40,1984
571788,46,7,.362,.277,89,1988
547180,100,34,.393,.249,137,1992
457763,41,5,.359,.284,113,1987
621439,4,0,.183,.156,14,1993
543068,74,30,.323,.253,127,1990
543376,17,3,.254,.219,58,1986
621043,65,15,.323,.239,96,1994
471865,64,16,.329,.276,128,1985
593372,4,1,.235,.242,8,1991
467793,86,24,.352,.229,128,1986
514917,60,15,.356,.253,153,1990
453568,70,29,.358,.291,182,1986
502624,2,0,.089,.089,4,1987
452104,4,0,.233,.115,6,1984
596144,7,3,.282,.194,20,1992
448801,49,16,.243,.168,79,1986
543302,7,2,.322,.237,18,1987
455104,36,11,.345,.224,67,1983
572008,22,4,.272,.206,58,1991
455759,13,6,.252,.168,19,1983
592885,110,36,.402,.326,187,1991
458675,1,1,.204,.133,6,1986
572816,55,13,.330,.300,151,1989
608369,13,2,.348,.267,27,1994
605486,25,7,.298,.235,70,1991
502226,11,1,.321,.269,42,1983
518614,57,13,.353,.238,83,1986
444482,87,30,.352,.293,164,1987
543829,36,4,.288,.268,149,1988
592261,22,2,.310,.216,72,1992
518618,45,16,.330,.265,132,1989
571918,7,0,.224,.167,13,1990
581527,44,11,.275,.232,83,1991
451594,31,8,.278,.180,52,1986
544369,86,27,.335,.268,135,1990
553988,21,1,.263,.206,44,1992
518934,62,15,.321,.276,147,1988
456030,0,0,.231,.091,1,1983
592696,77,24,.323,.288,161,1991
429665,107,32,.336,.246,123,1983
501303,39,6,.301,.251,84,1989
553869,34,10,.339,.286,72,1990
462101,33,6,.308,.256,101,1988
542255,61,10,.325,.265,158,1990
571771,52,21,.336,.256,103,1991
543333,69,18,.322,.253,155,1989
553993,104,34,.366,.283,149,1991
594828,78,25,.284,.226,92,1986
446334,54,16,.281,.244,117,1985
465041,57,12,.378,.259,86,1986
596019,92,38,.352,.277,183,1993
